idx,description
1,lift a cup to the mouth then tilt the head back
2,carry food to the mouth with fingers or utensil then chew
3,move a small object over the teeth repeatedly near the mouth
4,move the hand down through the hair from scalp to ends repeatedly
5,open the fingers and let an object fall straight down
6,"bend the hips and knees, close the fingers around an object low, then straighten back up"
7,swing the arm back then forward and release an object
8,bend hips and knees to lower the body onto a seat
9,push through the hips and knees to raise the body off a seat
10,strike the open palms together repeatedly at chest height
11,tilt the head down toward a held object and keep the hands still
12,tilt the head down and move the fingers in small repeated strokes over a surface
13,grip a sheet with both hands and pull the arms apart sharply
14,pull both arms back through openings and settle a garment onto the shoulders
15,pull both arms back out of openings and lower a garment away from the shoulders
16,bend forward and guide an object onto the foot with both hands
17,bend forward and pull an object off the foot with both hands
18,lift the hand to the face and settle an object over the eyes
19,lift the hand to the face and pull an object away from the eyes
20,lift the hand above the head and lower an object onto the scalp
21,lift the hand to the scalp and pull an object upward off the head
22,raise both arms outward and open the chest
23,raise one hand above the shoulder and swing it side to side
24,swing the leg forward from the hip toward a low target
25,move the hand to the hip and press it against the body
26,keep one foot lifted and bounce on the other repeatedly
27,bend the knees then push off the ground with both feet
28,lift the hand to the ear and hold it steady there
29,keep both elbows bent near the waist with small finger movements
30,keep both hands low and tap the fingers down repeatedly in front of the body
31,extend the arm forward and straighten one finger outward
32,extend the arm forward and angle a held object back toward the face
33,bend the elbow and bring the wrist close to the face briefly
34,press the palms together and slide them back and forth repeatedly
35,"tilt the head and upper spine forward then return upright, repeatedly"
36,turn the head side to side repeatedly without moving the spine
37,press the open hand against the face and slide it side to side
38,raise one hand to the side of the head and hold it briefly
39,bring both palms together in front of the chest and hold
40,cross both forearms in front of the chest and hold them still
41,pull the head back sharply and bring a hand toward the face
42,shift the whole spine side to side while moving forward unevenly
43,buckle at the knees suddenly and drop the whole body toward the ground
44,press the hand flat against the top of the head and hold
45,press the hand flat against the front of the chest and hold
46,reach behind and press the hand flat against the lower spine and hold
47,press the hand flat against the front of the throat and hold
48,bend the torso forward sharply with the mouth open
49,move a held object back and forth in front of the face repeatedly
50,swing the fist forward toward another person's head
51,swing the leg forward toward another person's body
52,"extend both arms and press them against another person, moving them back"
53,extend the arm and tap the open hand on another person's spine repeatedly
54,extend the arm and hold one finger steady pointing at another person
55,open both arms and close them around another person's spine
56,extend the arm forward and open the fingers near another person's hand
57,extend the arm toward another person's hip and press the fingers against it
58,extend the arm and close the fingers around another person's hand
59,"step forward repeatedly, upper body upright, the distance to another person shrinking with each step"
60,"step forward repeatedly, upper body upright, the distance from another person growing with each step"
61,lift both hands to the sides of the head and settle an object over the ears
62,lift both hands to the sides of the head and pull an object away from the ears
63,extend both arms upward and release an object toward a high target
64,press the palm down onto an object repeatedly near the floor
65,swing the forearm forward and back repeatedly at chest height
66,keep both hands low and flick the wrists to send an object up and down repeatedly
67,lift one finger to the lips and hold it there
68,tilt the head and sweep one hand across it briefly
69,"close the fingers into a fist with the thumb pointing up, hold"
70,"close the fingers into a fist with the thumb pointing down, hold"
71,"curl the thumb and index finger together into a circle, hold"
72,"raise the index and middle fingers apart in a V, hold"
73,press down on a held object at chest height with one hand
74,move the fingers of one hand repeatedly across a held object
75,pinch the fingertips of one hand against those of the other in small repeated motions
76,move a held object forward while the fingers open and close against it
77,press the thumb and middle finger together then release sharply
78,twist one hand against the other around a held object then pull upward
79,lift a held object toward the nose and hold it there briefly
80,bend the knees straight down keeping the torso upright
81,flick the thumb upward and release a small object into the air
82,bring both hands together folding a held object at chest height
83,"close both hands around a held object, crushing it inward"
84,rotate the fingers of both hands against parts of a held object
85,press the fingertips against the face and slide them in small circles
86,press one palm against the back of the other hand and slide it
87,pull both arms back through straps and settle them onto the shoulders
88,pull both arms back out of straps and lower them off the shoulders
89,lower the hand into a held container and release an object inside
90,reach the hand into a held container and lift an object out
91,grip the top of a held object with both hands and pull it away from the base
92,lean the whole body forward and push or pull a large object slowly
93,"bend the elbow and close the fist, moving it up and down repeatedly"
94,extend the arm upward and release an object from the hand into the air
95,raise both arms straight up from the sides and hold them there
96,fold both arms across the chest and hold them still
97,extend both arms sideways and rotate them in small circles at the shoulder
98,swing both arms forward and back together from the shoulder
99,lift the knees alternately and quickly while staying in place
100,kick both heels backward alternately toward the body while staying in place
101,twist the torso and reach one hand down across toward the opposite foot
102,swing the leg sideways away from the body's centerline
103,open the mouth wide and tilt the head back briefly
104,extend both arms overhead and lengthen the whole spine
105,press an object against the nose and exhale sharply
106,swing an arm holding an object forward toward another person
107,extend an arm holding an object forward and aim it at another person
108,"drive the whole body forward into another person, unbalancing them"
109,extend the arm and pull an object from another person's hand toward the body
110,extend an arm holding an object and aim it steadily at another person
111,lift one foot and press it down onto another person's foot
112,raise one hand and meet another person's raised hand at shoulder height
113,extend a held container toward another person's container then lift both toward the mouth
114,walk forward while both hands grip opposite sides of a shared object
115,extend an arm holding an object toward another person's face and hold steady
116,walk forward staying behind and matching another person's path
117,lean the head close to another person's ear and hold still
118,extend one hand outward releasing an object while the other hand closes around a received object
119,"extend one arm under another person's arm and hold steady, bearing weight"
120,"move one hand repeatedly then hold a closed, flat, or two-finger shape toward another person"
