idx,description
1,Hand lifts a container from a low position up toward the mouth then lowers it back down.
2,Hand moves food from a plate or container up toward the mouth repeatedly.
3,Hand moves a small object back and forth in front of the mouth.
4,Hand moves an object repeatedly downward through the hair from the scalp outward.
5,An object falls from the hand straight down toward the ground.
6,"Body bends down and a hand closes around a loose object on the ground, then straightens back up carrying it away, the feet themselves untouched throughout."
7,Arm swings forward and releases an object away from the body.
8,Body lowers from a standing position down onto a seat.
9,Body rises from a seated position up to standing.
10,Both hands move toward each other and strike together repeatedly.
11,"Head stays lowered toward a held object, eyes scanning it, hands remaining still and the object staying fully intact throughout."
12,"One hand moves in small repeated strokes across a surface, the held object staying flat and intact, never torn or pulled apart."
13,"Both hands grip opposite edges of a sheet and pull sharply apart, ripping it into separate pieces."
14,Arms move backward and up into openings pulling a garment from beside the body onto the torso.
15,Arms move backward and down sliding a garment off the torso and away from the body.
16,"Body bends down and a hand fits an object directly onto the person's own foot, the foot remaining the fixed target of the motion."
17,"Fingers hook around the heel and yank an object free of the foot, leaving it bare."
18,Hand lifts an object from beside the body up onto the face.
19,Hand lifts an object off the face and moves it away downward.
20,An object descends from a raised hand and settles over the scalp.
21,"Fingers grip the brim and pull an object upward and clear of the head, exposing it."
22,Arms rise upward and move outward from the body body posture opens.
23,One hand rises and moves side to side above shoulder height.
24,Leg swings forward away from the body toward a low object.
25,Hand moves toward the body's own hip and enters the pocket area.
26,Body repeatedly rises and lowers on one leg staying roughly in place.
27,Body pushes off the ground and rises upward with both feet leaving the floor.
28,Hand rises from beside the body up to the ear and stays there.
29,Hands stay low in front of the torso fingers move repeatedly over a held object.
30,Both hands stay low in front of the body fingers move rapidly downward in small repeated taps.
31,Arm extends outward away from the body toward a fixed external point.
32,Arm extends outward and slightly upward holding an object angled back toward the actor's own face.
33,Arm bends wrist rises toward the face and pauses briefly.
34,Both hands move against each other repeatedly at chest height.
35,Head and upper torso lower forward repeatedly then return upward.
36,Head turns repeatedly from side to side staying in place.
37,Hand moves repeatedly across the face staying close to it.
38,Hand rises from beside the body up to the side of the head and pauses.
39,Both hands move toward each other and press together at chest height.
40,Both arms extend forward and cross over one another staying in front of the body.
41,Upper body jerks forward briefly hand may rise toward the mouth.
42,Body sways unevenly from side to side while moving forward.
43,Body loses balance and drops rapidly downward toward the ground.
44,Hand rises from beside the body up to the head and stays there.
45,Hand moves from beside the body inward to the chest and stays there.
46,Hand reaches behind the torso toward the lower back and stays there.
47,Hand rises from beside the body up to the neck and stays there.
48,Upper body bends forward and down repeatedly hand may move toward the mouth.
49,Hand moves repeatedly back and forth near the face.
50,Arm extends outward from the body toward another person's body.
51,Leg swings outward from the body toward another person.
52,Both hands extend outward from the body and press against another person moving them away.
53,Hand extends outward and taps repeatedly on another person's back.
54,Arm extends outward from the body toward another person finger held out.
55,Both arms extend outward and wrap around another person bodies move toward each other.
56,Arm extends outward moving an object from the actor's own hand toward another person.
57,Hand extends outward across the space between two bodies and touches the other person's hip area.
58,One hand extends outward toward another person's hand and grips it briefly.
59,"Two people walk with a steady, upright, deliberate stride, the gap between them shrinking as they approach each other."
60,"Two people walk with a steady, upright, deliberate stride, the gap between them widening as they move apart."
61,Both hands lift an object from beside the head and lower it onto the ears.
62,Both hands lift an object off the ears and move it away downward.
63,Arms extend upward and forward releasing an object away from the body toward a high target.
64,Hand pushes an object repeatedly downward toward the ground and it returns upward.
65,Arm swings repeatedly forward and back at chest height.
66,Hand moves an object repeatedly upward and back down in front of the body.
67,One finger rises from beside the body up to the lips and stays there.
68,Head tilts and one hand briefly moves hair away from the face.
69,Hand rises with the thumb extended upward and stays in place.
70,Hand rises with the thumb extended downward and stays in place.
71,Fingers on one hand curl toward each other forming a circle hand held in front of the chest.
72,Hand rises with two fingers extended upward and stays in place.
73,One hand presses downward on a held object at chest height.
74,Fingers of one hand move repeatedly over a held object at chest height.
75,One hand holds an object near the fingertips of the other hand small repeated motions.
76,Hand moves a held object forward across another object fingers repeatedly open and close.
77,Fingers on one hand press together and release with a quick motion.
78,One hand holds an object steady while the other twists and lifts a smaller part away from it.
79,An object rises from beside the body up toward the nose and pauses.
80,Body lowers straight down by bending the knees staying roughly in place.
81,Hand flicks a small object upward and releases it into the air.
82,Both hands bring the edges of a held object toward each other at chest height.
83,Both hands press inward around a held object crushing it into a smaller shape.
84,Both hands hold and rotate parts of an object against each other at chest height.
85,Hand moves repeatedly across the face fingertips pressing lightly.
86,One hand moves repeatedly across the back of the other hand.
87,Arms move backward and up pulling straps from beside the body onto the shoulders.
88,Arms move backward and down sliding straps off the shoulders and away from the body.
89,Hand moves an object downward into a container held at the body's side.
90,Hand reaches down into a container and lifts an object upward and out.
91,Both hands grip the top of a held object and lift it upward separating it from the base.
92,Both arms push or pull a large object slowly forward whole body leans into the effort.
93,One arm bends hand closes into a fist and moves repeatedly up and down.
94,Arm extends upward releasing an object from the hand into the air above the head.
95,Both arms extend upward from the sides of the body and stay raised.
96,Both arms move inward across the chest and rest there.
97,Both arms extend outward from the shoulders and rotate repeatedly in a circular path.
98,Both arms swing repeatedly forward and back from the shoulders.
99,Legs alternate rising and lowering quickly body staying roughly in place.
100,Legs alternate bending sharply backward heels moving up toward the body.
101,Upper body bends and twists one hand reaches down and across toward the opposite foot.
102,Leg swings outward to the side away from the body's centerline.
103,Mouth opens wide head tilts back slightly hand may rise toward the mouth.
104,Arms extend outward and upward away from the body torso lengthens.
105,Hand rises from beside the body up to the nose and stays there briefly.
106,Arm swings an object outward from the body toward another person.
107,Arm extends an object outward from the body toward another person held forward.
108,The whole body moves forward and collides into another person pushing them off balance.
109,Hand extends outward moving an object from another person's hand toward the actor's own body.
110,Arm extends an object outward from the body aimed toward another person.
111,One foot moves downward onto another person's foot.
112,One hand rises and moves outward to meet another person's raised hand.
113,Two hands holding containers move toward each other and touch then rise toward the mouth.
114,Two bodies move together in the same direction each holding one side of an object between them.
115,Arm extends outward holding an object aimed away from the body toward another person.
116,One body moves forward staying behind and tracking the path of another body ahead.
117,Upper body leans forward and toward another person mouth moving close to their ear.
118,Both hands move outward one giving an object away while the other receives one from another person.
119,One arm extends outward and underneath another person's body bearing some of their weight.
120,One hand moves repeatedly up and down then holds a shape outward toward another person.
